SB vs ISO 6BB
Hand,AI,CALL,FOLD
4c3c,0,0,100
5c2c,0,0,100
5c3c,0,0,100
6c3c,0,0,100
7c3c,0,0,100
7c5d,0,0,100
7c6d,0,75,25
7c5h,0,0,100
7c6h,0,75,25
7c5s,0,0,100
7c6s,0,75,25
8c2c,0,0,100
8c3c,0,0,100
8c4c,0,100,0
8c6d,0,50,50
8c6h,0,50,50
8c6s,0,50,50
9c2c,0,100,0
9c3c,0,100,0
9c4c,0,100,0
9c8c,0,100,0
9c6d,0,25,75
9c6h,0,25,75
9c6s,0,25,75
Tc2c,0,100,0
Tc3c,0,100,0
Tc7c,0,100,0
Tc8c,0,100,0
Tc5d,0,0,100
Tc6d,0,75,25
Tc5h,0,0,100
Tc6h,0,75,25
Tc5s,0,0,100
Tc6s,0,75,25
Jc7c,0,100,0
Jc9c,0,100,0
Jc3d,0,75,25
Jc4d,0,50,50
Jc5d,0,75,25
Jc3h,0,75,25
Jc4h,0,50,50
Jc5h,0,75,25
Jc3s,0,75,25
Jc4s,0,50,50
Jc5s,0,75,25
Qc5c,0,100,0
Qc2d,0,100,0
Qc2h,0,100,0
Qc2s,0,100,0
4d3d,0,0,100
5d2d,0,0,100
5d3d,0,0,100
6d6c,75,25,0
6d3d,0,0,100
7d5c,0,0,100
7d6c,0,75,25
7d7c,25,75,0
7d3d,0,0,100
7d5h,0,0,100
7d6h,0,75,25
7d5s,0,0,100
7d6s,0,75,25
8d6c,0,50,50
8d8c,25,75,0
8d2d,0,0,100
8d3d,0,0,100
8d4d,0,100,0
8d6h,0,50,50
8d6s,0,50,50
9d6c,0,25,75
9d9c,50,50,0
9d2d,0,100,0
9d3d,0,100,0
9d4d,0,100,0
9d8d,0,100,0
9d6h,0,25,75
9d6s,0,25,75
Td5c,0,0,100
Td6c,0,75,25
TdTc,25,75,0
Td2d,0,100,0
Td3d,0,100,0
Td7d,0,100,0
Td8d,0,100,0
Td5h,0,0,100
Td6h,0,75,25
Td5s,0,0,100
Td6s,0,75,25
Jd3c,0,75,25
Jd4c,0,50,50
Jd5c,0,75,25
JdJc,0,100,0
Jd7d,0,100,0
Jd9d,0,100,0
Jd3h,0,75,25
Jd4h,0,50,50
Jd5h,0,75,25
Jd3s,0,75,25
Jd4s,0,50,50
Jd5s,0,75,25
Qd2c,0,100,0
QdQc,0,100,0
Qd5d,0,100,0
Qd2h,0,100,0
Qd2s,0,100,0
KdKc,25,75,0
AdAc,0,100,0
4h3h,0,0,100
5h2h,0,0,100
5h3h,0,0,100
6h6c,75,25,0
6h6d,75,25,0
6h3h,0,0,100
7h5c,0,0,100
7h6c,0,75,25
7h7c,25,75,0
7h5d,0,0,100
7h6d,0,75,25
7h7d,25,75,0
7h3h,0,0,100
7h5s,0,0,100
7h6s,0,75,25
8h6c,0,50,50
8h8c,25,75,0
8h6d,0,50,50
8h8d,25,75,0
8h2h,0,0,100
8h3h,0,0,100
8h4h,0,100,0
8h6s,0,50,50
9h6c,0,25,75
9h9c,50,50,0
9h6d,0,25,75
9h9d,50,50,0
9h2h,0,100,0
9h3h,0,100,0
9h4h,0,100,0
9h8h,0,100,0
9h6s,0,25,75
Th5c,0,0,100
Th6c,0,75,25
ThTc,25,75,0
Th5d,0,0,100
Th6d,0,75,25
ThTd,25,75,0
Th2h,0,100,0
Th3h,0,100,0
Th7h,0,100,0
Th8h,0,100,0
Th5s,0,0,100
Th6s,0,75,25
Jh3c,0,75,25
Jh4c,0,50,50
Jh5c,0,75,25
JhJc,0,100,0
Jh3d,0,75,25
Jh4d,0,50,50
Jh5d,0,75,25
JhJd,0,100,0
Jh7h,0,100,0
Jh9h,0,100,0
Jh3s,0,75,25
Jh4s,0,50,50
Jh5s,0,75,25
Qh2c,0,100,0
QhQc,0,100,0
Qh2d,0,100,0
QhQd,0,100,0
Qh5h,0,100,0
Qh2s,0,100,0
KhKc,25,75,0
KhKd,25,75,0
AhAc,0,100,0
AhAd,0,100,0
4s3s,0,0,100
5s2s,0,0,100
5s3s,0,0,100
6s6c,75,25,0
6s6d,75,25,0
6s6h,75,25,0
6s3s,0,0,100
7s5c,0,0,100
7s6c,0,75,25
7s7c,25,75,0
7s5d,0,0,100
7s6d,0,75,25
7s7d,25,75,0
7s5h,0,0,100
7s6h,0,75,25
7s7h,25,75,0
7s3s,0,0,100
8s6c,0,50,50
8s8c,25,75,0
8s6d,0,50,50
8s8d,25,75,0
8s6h,0,50,50
8s8h,25,75,0
8s2s,0,0,100
8s3s,0,0,100
8s4s,0,100,0
9s6c,0,25,75
9s9c,50,50,0
9s6d,0,25,75
9s9d,50,50,0
9s6h,0,25,75
9s9h,50,50,0
9s2s,0,100,0
9s3s,0,100,0
9s4s,0,100,0
9s8s,0,100,0
Ts5c,0,0,100
Ts6c,0,75,25
TsTc,25,75,0
Ts5d,0,0,100
Ts6d,0,75,25
TsTd,25,75,0
Ts5h,0,0,100
Ts6h,0,75,25
TsTh,25,75,0
Ts2s,0,100,0
Ts3s,0,100,0
Ts7s,0,100,0
Ts8s,0,100,0
Js3c,0,75,25
Js4c,0,50,50
Js5c,0,75,25
JsJc,0,100,0
Js3d,0,75,25
Js4d,0,50,50
Js5d,0,75,25
JsJd,0,100,0
Js3h,0,75,25
Js4h,0,50,50
Js5h,0,75,25
JsJh,0,100,0
Js7s,0,100,0
Js9s,0,100,0
Qs2c,0,100,0
QsQc,0,100,0
Qs2d,0,100,0
QsQd,0,100,0
Qs2h,0,100,0
QsQh,0,100,0
Qs5s,0,100,0
KsKc,25,75,0
KsKd,25,75,0
KsKh,25,75,0
AsAc,0,100,0
AsAd,0,100,0
AsAh,0,100,0
