BB vs LIMP 8BB
Hand,AI,RAISE,CHECK
3c2c,0,0,100
3c2d,0,0,100
3c2h,0,0,100
3c2s,0,0,100
4c2c,0,0,100
4c3c,0,0,100
4c2d,0,0,100
4c3d,0,0,100
4c2h,0,0,100
4c3h,0,0,100
4c2s,0,0,100
4c3s,0,0,100
5c2c,0,0,100
5c3c,0,0,100
5c4c,0,0,100
5c2d,0,0,100
5c3d,0,0,100
5c4d,0,0,100
5c2h,0,0,100
5c3h,0,0,100
5c4h,0,0,100
5c2s,0,0,100
5c3s,0,0,100
5c4s,0,0,100
6c2c,0,0,100
6c3c,25,0,75
6c4c,50,0,50
6c5c,75,0,25
6c2d,0,0,100
6c3d,0,0,100
6c4d,0,25,75
6c5d,25,0,75
6c2h,0,0,100
6c3h,0,0,100
6c4h,0,25,75
6c5h,25,0,75
6c2s,0,0,100
6c3s,0,0,100
6c4s,0,25,75
6c5s,25,0,75
7c2c,0,0,100
7c3c,0,0,100
7c4c,0,0,100
7c5c,25,0,75
7c6c,75,0,25
7c2d,0,25,75
7c3d,0,25,75
7c4d,0,25,75
7c5d,50,0,50
7c6d,25,25,50
7c2h,0,25,75
7c3h,0,25,75
7c4h,0,25,75
7c5h,50,0,50
7c6h,25,25,50
7c2s,0,25,75
7c3s,0,25,75
7c4s,0,25,75
7c5s,50,0,50
7c6s,25,25,50
8c2c,0,0,100
8c3c,0,0,100
8c4c,50,0,50
8c5c,0,0,100
8c6c,50,0,50
8c7c,75,0,25
8c2d,0,0,100
8c3d,0,0,100
8c4d,0,25,75
8c5d,0,25,75
8c6d,0,25,75
8c7d,25,0,75
8c2h,0,0,100
8c3h,0,0,100
8c4h,0,25,75
8c5h,0,25,75
8c6h,0,25,75
8c7h,25,0,75
8c2s,0,0,100
8c3s,0,0,100
8c4s,0,25,75
8c5s,0,25,75
8c6s,0,25,75
8c7s,25,0,75
9c2c,25,0,75
9c3c,0,0,100
9c4c,0,0,100
9c5c,0,0,100
9c6c,0,0,100
9c7c,25,0,75
9c8c,0,75,25
9c2d,0,25,75
9c3d,0,0,100
9c4d,0,0,100
9c5d,0,50,50
9c6d,25,25,50
9c7d,50,0,50
9c8d,0,0,100
9c2h,0,25,75
9c3h,0,0,100
9c4h,0,0,100
9c5h,0,50,50
9c6h,25,25,50
9c7h,50,0,50
9c8h,0,0,100
9c2s,0,25,75
9c3s,0,0,100
9c4s,0,0,100
9c5s,0,50,50
9c6s,25,25,50
9c7s,50,0,50
9c8s,0,0,100
Tc2c,0,0,100
Tc3c,0,0,100
Tc4c,25,0,75
Tc5c,0,0,100
Tc6c,0,0,100
Tc7c,0,0,100
Tc8c,0,50,50
Tc9c,0,75,25
Tc2d,0,25,75
Tc3d,0,25,75
Tc4d,0,50,50
Tc5d,0,25,75
Tc6d,0,0,100
Tc7d,0,25,75
Tc8d,25,0,75
Tc9d,0,25,75
Tc2h,0,25,75
Tc3h,0,25,75
Tc4h,0,50,50
Tc5h,0,25,75
Tc6h,0,0,100
Tc7h,0,25,75
Tc8h,25,0,75
Tc9h,0,25,75
Tc2s,0,25,75
Tc3s,0,25,75
Tc4s,0,50,50
Tc5s,0,25,75
Tc6s,0,0,100
Tc7s,0,25,75
Tc8s,25,0,75
Tc9s,0,25,75
Jc2c,50,0,50
Jc3c,25,0,75
Jc4c,0,0,100
Jc5c,0,0,100
Jc6c,0,0,100
Jc7c,0,0,100
Jc8c,0,25,75
Jc9c,0,50,50
JcTc,0,50,50
Jc2d,25,25,50
Jc3d,25,25,50
Jc4d,50,0,50
Jc5d,0,25,75
Jc6d,0,0,100
Jc7d,0,25,75
Jc8d,25,0,75
Jc9d,0,25,75
JcTd,0,25,75
Jc2h,25,25,50
Jc3h,25,25,50
Jc4h,50,0,50
Jc5h,0,25,75
Jc6h,0,0,100
Jc7h,0,25,75
Jc8h,25,0,75
Jc9h,0,25,75
JcTh,0,25,75
Jc2s,25,25,50
Jc3s,25,25,50
Jc4s,50,0,50
Jc5s,0,25,75
Jc6s,0,0,100
Jc7s,0,25,75
Jc8s,25,0,75
Jc9s,0,25,75
JcTs,0,25,75
Qc2c,50,0,50
Qc3c,25,0,75
Qc4c,0,0,100
Qc5c,0,0,100
Qc6c,0,0,100
Qc7c,0,0,100
Qc8c,0,60,40
Qc9c,0,75,25
QcTc,0,50,50
QcJc,0,75,25
Qc2d,100,0,0
Qc3d,75,25,0
Qc4d,100,0,0
Qc5d,25,25,50
Qc6d,0,0,100
Qc7d,0,50,50
Qc8d,100,0,0
Qc9d,25,25,50
QcTd,0,50,50
QcJd,0,50,50
Qc2h,100,0,0
Qc3h,75,25,0
Qc4h,100,0,0
Qc5h,25,25,50
Qc6h,0,0,100
Qc7h,0,50,50
Qc8h,100,0,0
Qc9h,25,25,50
QcTh,0,50,50
QcJh,0,50,50
Qc2s,100,0,0
Qc3s,75,25,0
Qc4s,100,0,0
Qc5s,25,25,50
Qc6s,0,0,100
Qc7s,0,50,50
Qc8s,100,0,0
Qc9s,25,25,50
QcTs,0,50,50
QcJs,0,50,50
Kc2c,100,0,0
Kc3c,0,0,100
Kc4c,25,0,75
Kc5c,0,0,100
Kc6c,25,0,75
Kc7c,50,25,25
Kc8c,25,50,25
Kc9c,0,100,0
KcTc,25,75,0
KcJc,0,100,0
KcQc,0,100,0
Kc2d,100,0,0
Kc3d,100,0,0
Kc4d,100,0,0
Kc5d,100,0,0
Kc6d,100,0,0
Kc7d,100,0,0
Kc8d,100,0,0
Kc9d,100,0,0
KcTd,100,0,0
KcJd,100,0,0
KcQd,25,75,0
Kc2h,100,0,0
Kc3h,100,0,0
Kc4h,100,0,0
Kc5h,100,0,0
Kc6h,100,0,0
Kc7h,100,0,0
Kc8h,100,0,0
Kc9h,100,0,0
KcTh,100,0,0
KcJh,100,0,0
KcQh,25,75,0
Kc2s,100,0,0
Kc3s,100,0,0
Kc4s,100,0,0
Kc5s,100,0,0
Kc6s,100,0,0
Kc7s,100,0,0
Kc8s,100,0,0
Kc9s,100,0,0
KcTs,100,0,0
KcJs,100,0,0
KcQs,25,75,0
Ac2c,100,0,0
Ac3c,100,0,0
Ac4c,100,0,0
Ac5c,50,50,0
Ac6c,75,25,0
Ac7c,25,75,0
Ac8c,100,0,0
Ac9c,100,0,0
AcTc,25,75,0
AcJc,25,75,0
AcQc,0,100,0
AcKc,25,75,0
Ac2d,100,0,0
Ac3d,100,0,0
Ac4d,100,0,0
Ac5d,100,0,0
Ac6d,100,0,0
Ac7d,100,0,0
Ac8d,100,0,0
Ac9d,100,0,0
AcTd,100,0,0
AcJd,100,0,0
AcQd,100,0,0
AcKd,100,0,0
Ac2h,100,0,0
Ac3h,100,0,0
Ac4h,100,0,0
Ac5h,100,0,0
Ac6h,100,0,0
Ac7h,100,0,0
Ac8h,100,0,0
Ac9h,100,0,0
AcTh,100,0,0
AcJh,100,0,0
AcQh,100,0,0
AcKh,100,0,0
Ac2s,100,0,0
Ac3s,100,0,0
Ac4s,100,0,0
Ac5s,100,0,0
Ac6s,100,0,0
Ac7s,100,0,0
Ac8s,100,0,0
Ac9s,100,0,0
AcTs,100,0,0
AcJs,100,0,0
AcQs,100,0,0
AcKs,100,0,0
2d2c,100,0,0
3d2c,0,0,100
3d3c,100,0,0
3d2d,0,0,100
3d2h,0,0,100
3d2s,0,0,100
4d2c,0,0,100
4d3c,0,0,100
4d4c,100,0,0
4d2d,0,0,100
4d3d,0,0,100
4d2h,0,0,100
4d3h,0,0,100
4d2s,0,0,100
4d3s,0,0,100
5d2c,0,0,100
5d3c,0,0,100
5d4c,0,0,100
5d5c,25,75,0
5d2d,0,0,100
5d3d,0,0,100
5d4d,0,0,100
5d2h,0,0,100
5d3h,0,0,100
5d4h,0,0,100
5d2s,0,0,100
5d3s,0,0,100
5d4s,0,0,100
6d2c,0,0,100
6d3c,0,0,100
6d4c,0,25,75
6d5c,25,0,75
6d6c,0,100,0
6d2d,0,0,100
6d3d,25,0,75
6d4d,50,0,50
6d5d,75,0,25
6d2h,0,0,100
6d3h,0,0,100
6d4h,0,25,75
6d5h,25,0,75
6d2s,0,0,100
6d3s,0,0,100
6d4s,0,25,75
6d5s,25,0,75
7d2c,0,25,75
7d3c,0,25,75
7d4c,0,25,75
7d5c,50,0,50
7d6c,25,25,50
7d7c,0,100,0
7d2d,0,0,100
7d3d,0,0,100
7d4d,0,0,100
7d5d,25,0,75
7d6d,75,0,25
7d2h,0,25,75
7d3h,0,25,75
7d4h,0,25,75
7d5h,50,0,50
7d6h,25,25,50
7d2s,0,25,75
7d3s,0,25,75
7d4s,0,25,75
7d5s,50,0,50
7d6s,25,25,50
8d2c,0,0,100
8d3c,0,0,100
8d4c,0,25,75
8d5c,0,25,75
8d6c,0,25,75
8d7c,25,0,75
8d8c,0,100,0
8d2d,0,0,100
8d3d,0,0,100
8d4d,50,0,50
8d5d,0,0,100
8d6d,50,0,50
8d7d,75,0,25
8d2h,0,0,100
8d3h,0,0,100
8d4h,0,25,75
8d5h,0,25,75
8d6h,0,25,75
8d7h,25,0,75
8d2s,0,0,100
8d3s,0,0,100
8d4s,0,25,75
8d5s,0,25,75
8d6s,0,25,75
8d7s,25,0,75
9d2c,0,25,75
9d3c,0,0,100
9d4c,0,0,100
9d5c,0,50,50
9d6c,25,25,50
9d7c,50,0,50
9d8c,0,0,100
9d9c,0,100,0
9d2d,25,0,75
9d3d,0,0,100
9d4d,0,0,100
9d5d,0,0,100
9d6d,0,0,100
9d7d,25,0,75
9d8d,0,75,25
9d2h,0,25,75
9d3h,0,0,100
9d4h,0,0,100
9d5h,0,50,50
9d6h,25,25,50
9d7h,50,0,50
9d8h,0,0,100
9d2s,0,25,75
9d3s,0,0,100
9d4s,0,0,100
9d5s,0,50,50
9d6s,25,25,50
9d7s,50,0,50
9d8s,0,0,100
Td2c,0,25,75
Td3c,0,25,75
Td4c,0,50,50
Td5c,0,25,75
Td6c,0,0,100
Td7c,0,25,75
Td8c,25,0,75
Td9c,0,25,75
TdTc,0,100,0
Td2d,0,0,100
Td3d,0,0,100
Td4d,25,0,75
Td5d,0,0,100
Td6d,0,0,100
Td7d,0,0,100
Td8d,0,50,50
Td9d,0,75,25
Td2h,0,25,75
Td3h,0,25,75
Td4h,0,50,50
Td5h,0,25,75
Td6h,0,0,100
Td7h,0,25,75
Td8h,25,0,75
Td9h,0,25,75
Td2s,0,25,75
Td3s,0,25,75
Td4s,0,50,50
Td5s,0,25,75
Td6s,0,0,100
Td7s,0,25,75
Td8s,25,0,75
Td9s,0,25,75
Jd2c,25,25,50
Jd3c,25,25,50
Jd4c,50,0,50
Jd5c,0,25,75
Jd6c,0,0,100
