BB vs LIMP 13BB
Hand,AI,RAISE,CHECK
AcJc,50,50,0
AcQc,25,75,0
AcKc,0,100,0
Ac2d,100,0,0
Ac3d,100,0,0
Ac4d,100,0,0
Ac5d,100,0,0
Ac6d,100,0,0
Ac7d,100,0,0
Ac8d,100,0,0
Ac9d,100,0,0
AcTd,100,0,0
AcJd,100,0,0
AcQd,100,0,0
AcKd,100,0,0
Ac2h,100,0,0
Ac3h,100,0,0
Ac4h,100,0,0
Ac5h,100,0,0
Ac6h,100,0,0
Ac7h,100,0,0
Ac8h,100,0,0
Ac9h,100,0,0
AcTh,100,0,0
AcJh,100,0,0
AcQh,100,0,0
AcKh,100,0,0
Ac2s,100,0,0
Ac3s,100,0,0
Ac4s,100,0,0
Ac5s,100,0,0
Ac6s,100,0,0
Ac7s,100,0,0
Ac8s,100,0,0
Ac9s,100,0,0
AcTs,100,0,0
AcJs,100,0,0
AcQs,100,0,0
AcKs,100,0,0
2d2c,100,0,0
3d2c,0,25,75
3d3c,100,0,0
3d2d,0,0,100
3d2h,0,25,75
3d2s,0,25,75
4d2c,0,0,100
4d3c,0,25,75
4d4c,100,0,0
4d2d,0,0,100
4d3d,0,0,100
4d2h,0,0,100
4d3h,0,25,75
4d2s,0,0,100
4d3s,0,25,75
5d2c,0,25,75
5d3c,0,0,100
5d4c,0,25,75
5d5c,100,0,0
5d2d,0,0,100
5d3d,0,0,100
5d4d,75,0,25
5d2h,0,25,75
5d3h,0,0,100
5d4h,0,25,75
5d2s,0,25,75
5d3s,0,0,100
5d4s,0,25,75
6d2c,0,0,100
6d3c,0,25,75
6d4c,0,0,100
6d5c,0,0,100
6d6c,75,25,0
6d2d,0,0,100
6d3d,50,0,50
6d4d,75,0,25
6d5d,100,0,0
6d2h,0,0,100
6d3h,0,25,75
6d4h,0,0,100
6d5h,0,0,100
6d2s,0,0,100
6d3s,0,25,75
6d4s,0,0,100
6d5s,0,0,100
7d2c,0,0,100
7d3c,0,25,75
7d4c,0,25,75
7d5c,25,0,75
7d6c,50,0,50
7d7c,25,75,0
7d2d,0,0,100
7d3d,0,0,100
7d4d,0,0,100
7d5d,75,0,25
7d6d,100,0,0
7d2h,0,0,100
7d3h,0,25,75
7d4h,0,25,75
7d5h,25,0,75
7d6h,50,0,50
7d2s,0,0,100
7d3s,0,25,75
7d4s,0,25,75
7d5s,25,0,75
7d6s,50,0,50
8d2c,0,0,100
8d3c,0,0,100
8d4c,0,25,75
8d5c,0,25,75
8d6c,0,25,75
8d7c,25,0,75
8d8c,0,100,0
8d2d,0,0,100
8d3d,0,0,100
