SB vs ISOS 6BB
Hand,CALL,FOLD
4c3c,0,100
5c2c,0,100
5c3c,0,100
6c3c,0,100
7c3c,0,100
7c5d,0,100
7c6d,0,100
7c5h,0,100
7c6h,0,100
7c5s,0,100
7c6s,0,100
8c2c,0,100
8c3c,0,100
8c4c,0,100
8c6d,0,100
8c6h,0,100
8c6s,0,100
9c2c,0,100
9c3c,0,100
9c4c,0,100
9c8c,100,0
9c6d,0,100
9c6h,0,100
9c6s,0,100
Tc2c,0,100
Tc3c,0,100
Tc7c,100,0
Tc8c,100,0
Tc5d,0,100
Tc6d,0,100
Tc5h,0,100
Tc6h,0,100
Tc5s,0,100
Tc6s,0,100
Jc7c,100,0
Jc9c,100,0
Jc3d,0,100
Jc4d,0,100
Jc5d,0,100
Jc3h,0,100
Jc4h,0,100
Jc5h,0,100
Jc3s,0,100
Jc4s,0,100
Jc5s,0,100
Qc5c,100,0
Qc2d,0,100
Qc2h,0,100
Qc2s,0,100
4d3d,0,100
5d2d,0,100
5d3d,0,100
6d6c,100,0
6d3d,0,100
7d5c,0,100
7d6c,0,100
7d7c,100,0
7d3d,0,100
7d5h,0,100
7d6h,0,100
7d5s,0,100
7d6s,0,100
8d6c,0,100
8d8c,100,0
8d2d,0,100
8d3d,0,100
8d4d,0,100
8d6h,0,100
8d6s,0,100
9d6c,0,100
9d9c,100,0
9d2d,0,100
9d3d,0,100
9d4d,0,100
9d8d,100,0
9d6h,0,100
9d6s,0,100
Td5c,0,100
Td6c,0,100
TdTc,100,0
Td2d,0,100
Td3d,0,100
Td7d,100,0
Td8d,100,0
Td5h,0,100
Td6h,0,100
Td5s,0,100
Td6s,0,100
Jd3c,0,100
Jd4c,0,100
Jd5c,0,100
JdJc,100,0
Jd7d,100,0
Jd9d,100,0
Jd3h,0,100
Jd4h,0,100
Jd5h,0,100
Jd3s,0,100
Jd4s,0,100
Jd5s,0,100
Qd2c,0,100
QdQc,100,0
Qd5d,100,0
Qd2h,0,100
Qd2s,0,100
KdKc,100,0
AdAc,100,0
4h3h,0,100
5h2h,0,100
5h3h,0,100
6h6c,100,0
6h6d,100,0
6h3h,0,100
7h5c,0,100
7h6c,0,100
7h7c,100,0
7h5d,0,100
7h6d,0,100
7h7d,100,0
7h3h,0,100
7h5s,0,100
7h6s,0,100
8h6c,0,100
8h8c,100,0
8h6d,0,100
8h8d,100,0
8h2h,0,100
8h3h,0,100
8h4h,0,100
8h6s,0,100
9h6c,0,100
9h9c,100,0
9h6d,0,100
9h9d,100,0
9h2h,0,100
9h3h,0,100
9h4h,0,100
9h8h,100,0
9h6s,0,100
Th5c,0,100
Th6c,0,100
ThTc,100,0
Th5d,0,100
Th6d,0,100
ThTd,100,0
Th2h,0,100
Th3h,0,100
Th7h,100,0
Th8h,100,0
Th5s,0,100
Th6s,0,100
Jh3c,0,100
Jh4c,0,100
Jh5c,0,100
JhJc,100,0
Jh3d,0,100
Jh4d,0,100
Jh5d,0,100
JhJd,100,0
Jh7h,100,0
Jh9h,100,0
Jh3s,0,100
Jh4s,0,100
Jh5s,0,100
Qh2c,0,100
QhQc,100,0
Qh2d,0,100
QhQd,100,0
Qh5h,100,0
Qh2s,0,100
KhKc,100,0
KhKd,100,0
AhAc,100,0
AhAd,100,0
4s3s,0,100
5s2s,0,100
5s3s,0,100
6s6c,100,0
6s6d,100,0
6s6h,100,0
6s3s,0,100
7s5c,0,100
7s6c,0,100
7s7c,100,0
7s5d,0,100
7s6d,0,100
7s7d,100,0
7s5h,0,100
7s6h,0,100
7s7h,100,0
7s3s,0,100
8s6c,0,100
8s8c,100,0
8s6d,0,100
8s8d,100,0
8s6h,0,100
8s8h,100,0
8s2s,0,100
8s3s,0,100
8s4s,0,100
9s6c,0,100
9s9c,100,0
9s6d,0,100
9s9d,100,0
9s6h,0,100
9s9h,100,0
9s2s,0,100
9s3s,0,100
9s4s,0,100
9s8s,100,0
Ts5c,0,100
Ts6c,0,100
TsTc,100,0
Ts5d,0,100
Ts6d,0,100
TsTd,100,0
Ts5h,0,100
Ts6h,0,100
TsTh,100,0
Ts2s,0,100
Ts3s,0,100
Ts7s,100,0
Ts8s,100,0
Js3c,0,100
Js4c,0,100
Js5c,0,100
JsJc,100,0
Js3d,0,100
Js4d,0,100
Js5d,0,100
JsJd,100,0
Js3h,0,100
Js4h,0,100
Js5h,0,100
JsJh,100,0
Js7s,100,0
Js9s,100,0
Qs2c,0,100
QsQc,100,0
Qs2d,0,100
QsQd,100,0
Qs2h,0,100
QsQh,100,0
Qs5s,100,0
KsKc,100,0
KsKd,100,0
KsKh,100,0
AsAc,100,0
AsAd,100,0
AsAh,100,0
