SB vs ISO 8BB
Hand,AI,CALL,FOLD
4c2c,0,0,100
4c3c,0,100,0
5c2c,0,0,100
5c3c,0,100,0
5c4d,0,0,100
5c4h,0,0,100
5c4s,0,0,100
6c3c,0,75,25
6c5d,0,0,100
6c5h,0,0,100
6c5s,0,0,100
7c3c,0,0,100
7c4c,0,100,0
7c5d,0,0,100
7c6d,0,50,50
7c5h,0,0,100
7c6h,0,50,50
7c5s,0,0,100
7c6s,0,50,50
8c2c,0,0,100
8c3c,0,0,100
8c4c,0,0,100
8c5d,0,0,100
8c6d,0,50,50
8c7d,0,75,25
8c5h,0,0,100
8c6h,0,50,50
8c7h,0,75,25
8c5s,0,0,100
8c6s,0,50,50
8c7s,0,75,25
9c2c,0,0,100
9c3c,0,0,100
9c4c,0,0,100
9c5c,0,100,0
9c8c,0,100,0
9c5d,0,0,100
9c6d,0,0,100
9c7d,0,25,75
9c8d,0,100,0
9c5h,0,0,100
9c6h,0,0,100
9c7h,0,25,75
9c8h,0,100,0
9c5s,0,0,100
9c6s,0,0,100
9c7s,0,25,75
9c8s,0,100,0
Tc2c,0,100,0
Tc3c,0,100,0
Tc4c,0,100,0
Tc5c,0,100,0
Tc8c,0,100,0
Tc9c,0,100,0
Tc5d,0,0,100
Tc6d,0,0,100
Tc7d,0,50,50
Tc8d,0,100,0
Tc5h,0,0,100
Tc6h,0,0,100
Tc7h,0,50,50
Tc8h,0,100,0
Tc5s,0,0,100
Tc6s,0,0,100
Tc7s,0,50,50
Tc8s,0,100,0
Jc2c,0,100,0
Jc3c,0,100,0
Jc8c,25,75,0
Jc9c,0,100,0
JcTc,0,100,0
Jc3d,0,0,100
Jc4d,0,0,100
Jc5d,0,25,75
Jc6d,0,25,75
Jc7d,0,100,0
Jc8d,0,100,0
JcTd,0,100,0
Jc3h,0,0,100
Jc4h,0,0,100
Jc5h,0,25,75
Jc6h,0,25,75
Jc7h,0,100,0
Jc8h,0,100,0
JcTh,0,100,0
Jc3s,0,0,100
Jc4s,0,0,100
Jc5s,0,25,75
Jc6s,0,25,75
Jc7s,0,100,0
Jc8s,0,100,0
JcTs,0,100,0
Qc7c,0,100,0
Qc8c,75,25,0
Qc9c,75,25,0
QcTc,0,100,0
QcJc,75,25,0
Qc2d,0,50,50
Qc3d,0,50,50
Qc4d,0,50,50
Qc5d,0,75,25
Qc6d,0,100,0
Qc7d,0,75,25
QcJd,75,25,0
Qc2h,0,50,50
Qc3h,0,50,50
Qc4h,0,50,50
Qc5h,0,75,25
Qc6h,0,100,0
Qc7h,0,75,25
QcJh,75,25,0
Qc2s,0,50,50
Qc3s,0,50,50
Qc4s,0,50,50
Qc5s,0,75,25
Qc6s,0,100,0
Qc7s,0,75,25
QcJs,75,25,0
Kc8c,25,75,0
Kc9c,100,0,0
KcTc,100,0,0
KcJc,100,0,0
KcQc,100,0,0
KcQd,100,0,0
KcQh,100,0,0
KcQs,100,0,0
AcTc,100,0,0
AcJc,100,0,0
AcQc,100,0,0
AcKc,100,0,0
4d2d,0,0,100
4d3d,0,100,0
5d4c,0,0,100
5d5c,50,50,0
5d2d,0,0,100
5d3d,0,100,0
5d4h,0,0,100
5d4s,0,0,100
6d5c,0,0,100
6d6c,75,25,0
6d3d,0,75,25
6d5h,0,0,100
6d5s,0,0,100
7d5c,0,0,100
7d6c,0,50,50
7d7c,75,25,0
7d3d,0,0,100
7d4d,0,100,0
7d5h,0,0,100
7d6h,0,50,50
7d5s,0,0,100
7d6s,0,50,50
8d5c,0,0,100
8d6c,0,50,50
8d7c,0,75,25
8d8c,25,75,0
8d2d,0,0,100
8d3d,0,0,100
8d4d,0,0,100
8d5h,0,0,100
8d6h,0,50,50
8d7h,0,75,25
8d5s,0,0,100
8d6s,0,50,50
8d7s,0,75,25
9d5c,0,0,100
9d6c,0,0,100
9d7c,0,25,75
9d8c,0,100,0
9d9c,100,0,0
9d2d,0,0,100
9d3d,0,0,100
9d4d,0,0,100
9d5d,0,100,0
9d8d,0,100,0
9d5h,0,0,100
9d6h,0,0,100
9d7h,0,25,75
9d8h,0,100,0
9d5s,0,0,100
9d6s,0,0,100
9d7s,0,25,75
9d8s,0,100,0
Td5c,0,0,100
Td6c,0,0,100
Td7c,0,50,50
Td8c,0,100,0
TdTc,25,75,0
Td2d,0,100,0
Td3d,0,100,0
Td4d,0,100,0
Td5d,0,100,0
Td8d,0,100,0
Td9d,0,100,0
Td5h,0,0,100
Td6h,0,0,100
Td7h,0,50,50
Td8h,0,100,0
Td5s,0,0,100
Td6s,0,0,100
Td7s,0,50,50
Td8s,0,100,0
Jd3c,0,0,100
Jd4c,0,0,100
Jd5c,0,25,75
Jd6c,0,25,75
Jd7c,0,100,0
Jd8c,0,100,0
JdTc,0,100,0
JdJc,0,100,0
Jd2d,0,100,0
Jd3d,0,100,0
Jd8d,25,75,0
Jd9d,0,100,0
JdTd,0,100,0
Jd3h,0,0,100
Jd4h,0,0,100
Jd5h,0,25,75
Jd6h,0,25,75
Jd7h,0,100,0
Jd8h,0,100,0
JdTh,0,100,0
Jd3s,0,0,100
Jd4s,0,0,100
Jd5s,0,25,75
Jd6s,0,25,75
Jd7s,0,100,0
Jd8s,0,100,0
JdTs,0,100,0
Qd2c,0,50,50
Qd3c,0,50,50
Qd4c,0,50,50
Qd5c,0,75,25
Qd6c,0,100,0
Qd7c,0,75,25
QdJc,75,25,0
QdQc,0,100,0
Qd7d,0,100,0
Qd8d,75,25,0
Qd9d,75,25,0
QdTd,0,100,0
QdJd,75,25,0
Qd2h,0,50,50
Qd3h,0,50,50
Qd4h,0,50,50
Qd5h,0,75,25
Qd6h,0,100,0
Qd7h,0,75,25
QdJh,75,25,0
Qd2s,0,50,50
Qd3s,0,50,50
Qd4s,0,50,50
Qd5s,0,75,25
Qd6s,0,100,0
Qd7s,0,75,25
QdJs,75,25,0
KdQc,100,0,0
KdKc,25,75,0
Kd8d,25,75,0
Kd9d,100,0,0
KdTd,100,0,0
KdJd,100,0,0
KdQd,100,0,0
KdQh,100,0,0
KdQs,100,0,0
AdAc,25,75,0
AdTd,100,0,0
AdJd,100,0,0
AdQd,100,0,0
AdKd,100,0,0
4h2h,0,0,100
4h3h,0,100,0
5h4c,0,0,100
5h5c,50,50,0
5h4d,0,0,100
5h5d,50,50,0
5h2h,0,0,100
5h3h,0,100,0
5h4s,0,0,100
6h5c,0,0,100
6h6c,75,25,0
6h5d,0,0,100
6h6d,75,25,0
6h3h,0,75,25
6h5s,0,0,100
7h5c,0,0,100
7h6c,0,50,50
7h7c,75,25,0
7h5d,0,0,100
7h6d,0,50,50
7h7d,75,25,0
7h3h,0,0,100
7h4h,0,100,0
