SB vs ISO 10BB
Hand,AI,CALL,FOLD
9d4s,0,0,100
9d5s,0,0,100
9d6s,0,0,100
9d7s,0,25,75
9d8s,0,100,0
Td2c,0,0,100
Td3c,0,0,100
Td4c,0,0,100
Td5c,0,0,100
Td6c,0,0,100
Td7c,0,75,25
Td8c,0,100,0
Td9c,0,100,0
TdTc,25,75,0
Td2d,0,100,0
Td3d,0,100,0
Td4d,0,100,0
Td5d,0,100,0
Td8d,0,100,0
Td9d,0,100,0
Td2h,0,0,100
Td3h,0,0,100
Td4h,0,0,100
Td5h,0,0,100
Td6h,0,0,100
Td7h,0,75,25
Td8h,0,100,0
Td9h,0,100,0
Td2s,0,0,100
Td3s,0,0,100
Td4s,0,0,100
Td5s,0,0,100
Td6s,0,0,100
Td7s,0,75,25
Td8s,0,100,0
Td9s,0,100,0
Jd2c,0,0,100
Jd3c,0,0,100
Jd4c,0,0,100
Jd5c,0,0,100
Jd6c,0,0,100
Jd7c,0,100,0
Jd8c,0,100,0
Jd9c,0,100,0
JdTc,0,100,0
JdJc,0,100,0
Jd2d,0,100,0
Jd3d,0,100,0
Jd4d,0,100,0
Jd5d,0,100,0
Jd6d,0,100,0
Jd7d,0,100,0
Jd8d,0,100,0
Jd9d,0,100,0
JdTd,0,100,0
Jd2h,0,0,100
Jd3h,0,0,100
Jd4h,0,0,100
Jd5h,0,0,100
Jd6h,0,0,100
Jd7h,0,100,0
Jd8h,0,100,0
Jd9h,0,100,0
JdTh,0,100,0
Jd2s,0,0,100
Jd3s,0,0,100
Jd4s,0,0,100
Jd5s,0,0,100
Jd6s,0,0,100
Jd7s,0,100,0
Jd8s,0,100,0
Jd9s,0,100,0
JdTs,0,100,0
Qd2c,0,0,100
Qd3c,0,0,100
Qd4c,0,0,100
Qd5c,0,75,25
Qd6c,0,100,0
Qd7c,0,100,0
Qd8c,0,100,0
Qd9c,0,100,0
QdTc,0,100,0
QdJc,0,100,0
QdQc,0,100,0
Qd2d,0,100,0
Qd3d,0,100,0
Qd4d,0,100,0
Qd7d,0,100,0
Qd8d,0,100,0
Qd9d,0,100,0
QdTd,0,100,0
QdJd,0,100,0
Qd2h,0,0,100
Qd3h,0,0,100
Qd4h,0,0,100
Qd5h,0,75,25
Qd6h,0,100,0
Qd7h,0,100,0
Qd8h,0,100,0
Qd9h,0,100,0
QdTh,0,100,0
QdJh,0,100,0
Qd2s,0,0,100
Qd3s,0,0,100
Qd4s,0,0,100
Qd5s,0,75,25
Qd6s,0,100,0
Qd7s,0,100,0
Qd8s,0,100,0
Qd9s,0,100,0
QdTs,0,100,0
QdJs,0,100,0
Kd2c,0,100,0
Kd3c,0,100,0
Kd4c,0,100,0
Kd5c,0,100,0
KdTc,100,0,0
KdJc,100,0,0
KdQc,100,0,0
KdKc,0,100,0
Kd6d,0,100,0
Kd7d,0,100,0
Kd8d,0,100,0
Kd9d,0,100,0
KdTd,100,0,0
KdJd,50,50,0
KdQd,100,0,0
Kd2h,0,100,0
Kd3h,0,100,0
Kd4h,0,100,0
Kd5h,0,100,0
KdTh,100,0,0
KdJh,100,0,0
KdQh,100,0,0
Kd2s,0,100,0
Kd3s,0,100,0
Kd4s,0,100,0
Kd5s,0,100,0
KdTs,100,0,0
KdJs,100,0,0
KdQs,100,0,0
AdQc,100,0,0
AdKc,100,0,0
AdAc,0,100,0
Ad3d,75,25,0
Ad4d,75,25,0
Ad5d,25,75,0
Ad6d,25,75,0
Ad7d,75,25,0
Ad8d,100,0,0
Ad9d,100,0,0
AdTd,100,0,0
AdJd,100,0,0
AdQd,100,0,0
AdKd,100,0,0
AdQh,100,0,0
AdKh,100,0,0
AdQs,100,0,0
AdKs,100,0,0
3h2h,0,100,0
4h2h,0,75,25
4h3h,0,100,0
5h4c,0,0,100
5h5c,25,75,0
5h4d,0,0,100
5h5d,25,75,0
5h2h,0,75,25
5h3h,0,100,0
5h4s,0,0,100
6h4c,0,0,100
6h5c,0,0,100
6h6c,0,100,0
6h4d,0,0,100
6h5d,0,0,100
6h6d,0,100,0
6h2h,0,0,100
6h3h,0,75,25
6h4s,0,0,100
6h5s,0,0,100
7h4c,0,0,100
7h5c,0,0,100
7h6c,0,0,100
7h7c,0,100,0
7h4d,0,0,100
7h5d,0,0,100
7h6d,0,0,100
7h7d,0,100,0
7h2h,0,0,100
7h3h,0,0,100
7h4h,0,100,0
7h4s,0,0,100
7h5s,0,0,100
7h6s,0,0,100
8h4c,0,0,100
8h5c,0,0,100
8h6c,0,0,100
8h7c,0,50,50
8h8c,0,100,0
8h4d,0,0,100
8h5d,0,0,100
8h6d,0,0,100
8h7d,0,50,50
8h8d,0,100,0
8h2h,0,0,100
8h3h,0,0,100
8h4h,0,0,100
8h5h,0,100,0
8h4s,0,0,100
8h5s,0,0,100
8h6s,0,0,100
8h7s,0,50,50
9h4c,0,0,100
9h5c,0,0,100
9h6c,0,0,100
9h7c,0,25,75
9h8c,0,100,0
9h9c,50,50,0
9h4d,0,0,100
9h5d,0,0,100
9h6d,0,0,100
9h7d,0,25,75
9h8d,0,100,0
9h9d,50,50,0
9h2h,0,0,100
9h3h,0,0,100
9h4h,0,80,20
9h5h,0,100,0
9h8h,0,100,0
9h4s,0,0,100
9h5s,0,0,100
9h6s,0,0,100
9h7s,0,25,75
9h8s,0,100,0
Th2c,0,0,100
Th3c,0,0,100
Th4c,0,0,100
Th5c,0,0,100
Th6c,0,0,100
Th7c,0,75,25
Th8c,0,100,0
Th9c,0,100,0
ThTc,25,75,0
Th2d,0,0,100
Th3d,0,0,100
Th4d,0,0,100
Th5d,0,0,100
Th6d,0,0,100
Th7d,0,75,25
Th8d,0,100,0
Th9d,0,100,0
ThTd,25,75,0
Th2h,0,100,0
Th3h,0,100,0
Th4h,0,100,0
Th5h,0,100,0
Th8h,0,100,0
Th9h,0,100,0
Th2s,0,0,100
Th3s,0,0,100
Th4s,0,0,100
Th5s,0,0,100
Th6s,0,0,100
Th7s,0,75,25
Th8s,0,100,0
Th9s,0,100,0
Jh2c,0,0,100
Jh3c,0,0,100
Jh4c,0,0,100
Jh5c,0,0,100
Jh6c,0,0,100
Jh7c,0,100,0
Jh8c,0,100,0
Jh9c,0,100,0
JhTc,0,100,0
JhJc,0,100,0
Jh2d,0,0,100
Jh3d,0,0,100
Jh4d,0,0,100
Jh5d,0,0,100
Jh6d,0,0,100
Jh7d,0,100,0
Jh8d,0,100,0
Jh9d,0,100,0
JhTd,0,100,0
JhJd,0,100,0
Jh2h,0,100,0
Jh3h,0,100,0
Jh4h,0,100,0
Jh5h,0,100,0
Jh6h,0,100,0
Jh7h,0,100,0
Jh8h,0,100,0
Jh9h,0,100,0
JhTh,0,100,0
Jh2s,0,0,100
Jh3s,0,0,100
Jh4s,0,0,100
Jh5s,0,0,100
Jh6s,0,0,100
Jh7s,0,100,0
Jh8s,0,100,0
Jh9s,0,100,0
JhTs,0,100,0
Qh2c,0,0,100
Qh3c,0,0,100
Qh4c,0,0,100
Qh5c,0,75,25
Qh6c,0,100,0
Qh7c,0,100,0
Qh8c,0,100,0
Qh9c,0,100,0
QhTc,0,100,0
QhJc,0,100,0
QhQc,0,100,0
Qh2d,0,0,100
Qh3d,0,0,100
Qh4d,0,0,100
Qh5d,0,75,25
Qh6d,0,100,0
Qh7d,0,100,0
Qh8d,0,100,0
Qh9d,0,100,0
QhTd,0,100,0
QhJd,0,100,0
QhQd,0,100,0
Qh2h,0,100,0
Qh3h,0,100,0
Qh4h,0,100,0
Qh7h,0,100,0
Qh8h,0,100,0
Qh9h,0,100,0
QhTh,0,100,0
QhJh,0,100,0
Qh2s,0,0,100
Qh3s,0,0,100
Qh4s,0,0,100
Qh5s,0,75,25
Qh6s,0,100,0
Qh7s,0,100,0
Qh8s,0,100,0
Qh9s,0,100,0
QhTs,0,100,0
QhJs,0,100,0
Kh2c,0,100,0
Kh3c,0,100,0
Kh4c,0,100,0
Kh5c,0,100,0
KhTc,100,0,0
KhJc,100,0,0
KhQc,100,0,0
KhKc,0,100,0
Kh2d,0,100,0
Kh3d,0,100,0
Kh4d,0,100,0
Kh5d,0,100,0
KhTd,100,0,0
KhJd,100,0,0
KhQd,100,0,0
KhKd,0,100,0
Kh6h,0,100,0
Kh7h,0,100,0
Kh8h,0,100,0
Kh9h,0,100,0
KhTh,100,0,0
KhJh,50,50,0
KhQh,100,0,0
Kh2s,0,100,0
Kh3s,0,100,0
Kh4s,0,100,0
Kh5s,0,100,0
KhTs,100,0,0
KhJs,100,0,0
KhQs,100,0,0
AhQc,100,0,0
AhKc,100,0,0
AhAc,0,100,0
AhQd,100,0,0
AhKd,100,0,0
AhAd,0,100,0
Ah3h,75,25,0
Ah4h,75,25,0
Ah5h,25,75,0
Ah6h,25,75,0
Ah7h,75,25,0
Ah8h,100,0,0
Ah9h,100,0,0
AhTh,100,0,0
AhJh,100,0,0
AhQh,100,0,0
AhKh,100,0,0
AhQs,100,0,0
AhKs,100,0,0
3s2s,0,100,0
4s2s,0,75,25
4s3s,0,100,0
5s4c,0,0,100
5s5c,25,75,0
5s4d,0,0,100
5s5d,25,75,0
5s4h,0,0,100
5s5h,25,75,0
5s2s,0,75,25
5s3s,0,100,0
6s4c,0,0,100
6s5c,0,0,100
6s6c,0,100,0
6s4d,0,0,100
6s5d,0,0,100
6s6d,0,100,0
6s4h,0,0,100
6s5h,0,0,100
6s6h,0,100,0
6s2s,0,0,100
6s3s,0,75,25
7s4c,0,0,100
7s5c,0,0,100
7s6c,0,0,100
7s7c,0,100,0
7s4d,0,0,100
7s5d,0,0,100
7s6d,0,0,100
7s7d,0,100,0
7s4h,0,0,100
7s5h,0,0,100
7s6h,0,0,100
7s7h,0,100,0
7s2s,0,0,100
7s3s,0,0,100
7s4s,0,100,0
8s4c,0,0,100
8s5c,0,0,100
8s6c,0,0,100
8s7c,0,50,50
8s8c,0,100,0
8s4d,0,0,100
8s5d,0,0,100
8s6d,0,0,100
8s7d,0,50,50
8s8d,0,100,0
8s4h,0,0,100
8s5h,0,0,100
8s6h,0,0,100
8s7h,0,50,50
8s8h,0,100,0
8s2s,0,0,100
8s3s,0,0,100
8s4s,0,0,100
8s5s,0,100,0
9s4c,0,0,100
9s5c,0,0,100
9s6c,0,0,100
9s7c,0,25,75
9s8c,0,100,0
9s9c,50,50,0
9s4d,0,0,100
9s5d,0,0,100
9s6d,0,0,100
9s7d,0,25,75
9s8d,0,100,0
9s9d,50,50,0
9s4h,0,0,100
9s5h,0,0,100
9s6h,0,0,100
9s7h,0,25,75
9s8h,0,100,0
9s9h,50,50,0
9s2s,0,0,100
9s3s,0,0,100
9s4s,0,80,20
9s5s,0,100,0
9s8s,0,100,0
Ts2c,0,0,100
Ts3c,0,0,100
Ts4c,0,0,100
Ts5c,0,0,100
Ts6c,0,0,100
Ts7c,0,75,25
Ts8c,0,100,0
Ts9c,0,100,0
TsTc,25,75,0
Ts2d,0,0,100
Ts3d,0,0,100
Ts4d,0,0,100
Ts5d,0,0,100
Ts6d,0,0,100
Ts7d,0,75,25
Ts8d,0,100,0
Ts9d,0,100,0
TsTd,25,75,0
Ts2h,0,0,100
Ts3h,0,0,100
Ts4h,0,0,100
Ts5h,0,0,100
Ts6h,0,0,100
Ts7h,0,75,25
Ts8h,0,100,0
Ts9h,0,100,0
TsTh,25,75,0
Ts2s,0,100,0
Ts3s,0,100,0
Ts4s,0,100,0
Ts5s,0,100,0
Ts8s,0,100,0
Ts9s,0,100,0
Js2c,0,0,100
Js3c,0,0,100
Js4c,0,0,100
Js5c,0,0,100
Js6c,0,0,100
Js7c,0,100,0
Js8c,0,100,0
Js9c,0,100,0
JsTc,0,100,0
JsJc,0,100,0
Js2d,0,0,100
Js3d,0,0,100
Js4d,0,0,100
Js5d,0,0,100
Js6d,0,0,100
Js7d,0,100,0
Js8d,0,100,0
Js9d,0,100,0
JsTd,0,100,0
JsJd,0,100,0
Js2h,0,0,100
Js3h,0,0,100
Js4h,0,0,100
Js5h,0,0,100
Js6h,0,0,100
Js7h,0,100,0
Js8h,0,100,0
Js9h,0,100,0
JsTh,0,100,0
JsJh,0,100,0
Js2s,0,100,0
Js3s,0,100,0
Js4s,0,100,0
Js5s,0,100,0
Js6s,0,100,0
Js7s,0,100,0
Js8s,0,100,0
Js9s,0,100,0
JsTs,0,100,0
Qs2c,0,0,100
Qs3c,0,0,100
Qs4c,0,0,100
Qs5c,0,75,25
Qs6c,0,100,0
Qs7c,0,100,0
Qs8c,0,100,0
Qs9c,0,100,0
QsTc,0,100,0
QsJc,0,100,0
QsQc,0,100,0
Qs2d,0,0,100
Qs3d,0,0,100
Qs4d,0,0,100
Qs5d,0,75,25
Qs6d,0,100,0
Qs7d,0,100,0
Qs8d,0,100,0
Qs9d,0,100,0
QsTd,0,100,0
QsJd,0,100,0
QsQd,0,100,0
Qs2h,0,0,100
Qs3h,0,0,100
Qs4h,0,0,100
Qs5h,0,75,25
