BB vs OR 22BB
Hand,3BAI,3BNAI,CALL,FOLD
Kc3d,0,25,75,0
Kc4d,0,25,75,0
Kc5d,20,20,60,0
Kc6d,75,0,25,0
Kc7d,0,0,100,0
Kc8d,0,0,100,0
Kc9d,0,50,50,0
KcTd,0,25,75,0
KcJd,50,0,50,0
KcQd,75,0,25,0
Kc2h,0,25,75,0
Kc3h,0,25,75,0
Kc4h,0,25,75,0
Kc5h,20,20,60,0
Kc6h,75,0,25,0
Kc7h,0,0,100,0
Kc8h,0,0,100,0
Kc9h,0,50,50,0
KcTh,0,25,75,0
KcJh,50,0,50,0
KcQh,75,0,25,0
Kc2s,0,25,75,0
Kc3s,0,25,75,0
Kc4s,0,25,75,0
Kc5s,20,20,60,0
Kc6s,75,0,25,0
Kc7s,0,0,100,0
Kc8s,0,0,100,0
Kc9s,0,50,50,0
KcTs,0,25,75,0
KcJs,50,0,50,0
KcQs,75,0,25,0
Ac2c,0,0,100,0
Ac3c,25,0,75,0
Ac4c,0,0,100,0
Ac5c,25,0,75,0
Ac6c,0,0,100,0
Ac7c,0,0,100,0
Ac8c,25,50,25,0
Ac9c,50,50,0,0
AcTc,0,100,0,0
AcJc,25,75,0,0
AcQc,0,100,0,0
AcKc,0,100,0,0
Ac2d,50,25,25,0
Ac3d,75,0,25,0
Ac4d,75,0,25,0
Ac5d,50,0,50,0
Ac6d,50,25,25,0
Ac7d,75,25,0,0
Ac8d,100,0,0,0
Ac9d,100,0,0,0
AcTd,100,0,0,0
AcJd,100,0,0,0
AcQd,100,0,0,0
AcKd,100,0,0,0
Ac2h,50,25,25,0
Ac3h,75,0,25,0
Ac4h,75,0,25,0
Ac5h,50,0,50,0
Ac6h,50,25,25,0
Ac7h,75,25,0,0
Ac8h,100,0,0,0
Ac9h,100,0,0,0
AcTh,100,0,0,0
AcJh,100,0,0,0
AcQh,100,0,0,0
AcKh,100,0,0,0
Ac2s,50,25,25,0
Ac3s,75,0,25,0
Ac4s,75,0,25,0
Ac5s,50,0,50,0
Ac6s,50,25,25,0
Ac7s,75,25,0,0
Ac8s,100,0,0,0
Ac9s,100,0,0,0
AcTs,100,0,0,0
AcJs,100,0,0,0
AcQs,100,0,0,0
AcKs,100,0,0,0
2d2c,100,0,0,0
3d2c,0,0,0,100
3d3c,100,0,0,0
3d2d,0,0,100,0
3d2h,0,0,0,100
3d2s,0,0,0,100
4d2c,0,0,0,100
4d3c,0,0,25,75
4d4c,100,0,0,0
4d2d,0,0,100,0
4d3d,0,0,100,0
4d2h,0,0,0,100
4d3h,0,0,25,75
4d2s,0,0,0,100
4d3s,0,0,25,75
5d2c,0,0,0,100
5d3c,0,0,100,0
5d4c,0,25,75,0
5d5c,100,0,0,0
5d2d,0,0,100,0
5d3d,0,0,100,0
5d4d,0,25,75,0
5d2h,0,0,0,100
